Stabilizing...
Starting measurement (Interrupts disabled)...
ML-KEM-768
Starting Benchmarks for: ML-KEM-768
Iteration, Keypair, Encaps, Decaps
overhead: 2
0, 	831183, 	985990, 	1185247
1, 	831092, 	985990, 	1185229
2, 	831014, 	985987, 	1185229
3, 	831014, 	985987, 	1185229
4, 	831042, 	985990, 	1185229
5, 	831014, 	985987, 	1185229
6, 	831014, 	985987, 	1185229
7, 	831014, 	985987, 	1185229
8, 	831014, 	985987, 	1185229
9, 	831014, 	985987, 	1185229
10, 	831014, 	985987, 	1185224
11, 	831042, 	985990, 	1185229
12, 	831014, 	985987, 	1185229
13, 	831014, 	985987, 	1185229
14, 	831014, 	985987, 	1185229
15, 	831014, 	985987, 	1185229
16, 	831014, 	985987, 	1185229
17, 	831014, 	985987, 	1185229
18, 	831042, 	985990, 	1185229
19, 	831014, 	985987, 	1185229
20, 	831014, 	985987, 	1185229
21, 	831014, 	985987, 	1185229
22, 	831014, 	985987, 	1185229
23, 	831014, 	985987, 	1185229
24, 	831014, 	985987, 	1185229
25, 	831042, 	985990, 	1185229
26, 	831014, 	985987, 	1185224
27, 	831014, 	985987, 	1185229
28, 	831014, 	985987, 	1185229
29, 	831014, 	985987, 	1185229
30, 	831014, 	985987, 	1185229
31, 	831014, 	985987, 	1185229
32, 	831042, 	985990, 	1185229
33, 	831014, 	985987, 	1185229
34, 	831014, 	985987, 	1185229
35, 	831014, 	985987, 	1185229
36, 	831014, 	985987, 	1185229
37, 	831014, 	985987, 	1185229
38, 	831014, 	985987, 	1185229
39, 	831042, 	985990, 	1185229
40, 	831014, 	985987, 	1185229
41, 	831014, 	985987, 	1185229
42, 	831014, 	985987, 	1185224
43, 	831014, 	985987, 	1185229
44, 	831014, 	985987, 	1185229
45, 	831014, 	985987, 	1185229
46, 	831042, 	985990, 	1185229
47, 	831014, 	985987, 	1185229
48, 	831014, 	985987, 	1185229
49, 	831014, 	985987, 	1185229
50, 	831014, 	985987, 	1185229
51, 	831014, 	985987, 	1185229
52, 	831014, 	985987, 	1185229
53, 	831042, 	985990, 	1185229
54, 	831014, 	985987, 	1185229
55, 	831014, 	985987, 	1185229
56, 	831014, 	985987, 	1185229
57, 	831014, 	985987, 	1185229
58, 	831014, 	985987, 	1185224
59, 	831014, 	985987, 	1185229
60, 	831042, 	985990, 	1185229
61, 	831014, 	985987, 	1185229
62, 	831014, 	985987, 	1185229
63, 	831014, 	985987, 	1185229
64, 	831014, 	985987, 	1185229
65, 	831014, 	985987, 	1185229
66, 	831014, 	985987, 	1185229
67, 	831042, 	985990, 	1185229
68, 	831014, 	985987, 	1185229
69, 	831014, 	985987, 	1185229
70, 	831014, 	985987, 	1185229
71, 	831014, 	985987, 	1185229
72, 	831014, 	985987, 	1185229
73, 	831014, 	985987, 	1185229
74, 	831042, 	985990, 	1185224
75, 	831014, 	985987, 	1185229
76, 	831014, 	985987, 	1185229
77, 	831014, 	985987, 	1185229
78, 	831014, 	985987, 	1185229
79, 	831014, 	985987, 	1185229
80, 	831014, 	985987, 	1185229
81, 	831042, 	985990, 	1185229
82, 	831014, 	985987, 	1185229
83, 	831014, 	985987, 	1185229
84, 	831014, 	985987, 	1185229
85, 	831014, 	985987, 	1185229
86, 	831014, 	985987, 	1185229
87, 	831014, 	985987, 	1185229
88, 	831042, 	985990, 	1185229
89, 	831014, 	985987, 	1185229
90, 	831014, 	985987, 	1185224
91, 	831014, 	985987, 	1185229
92, 	831014, 	985987, 	1185229
93, 	831014, 	985987, 	1185229
94, 	831014, 	985987, 	1185229
95, 	831042, 	985990, 	1185229
96, 	831014, 	985987, 	1185229
97, 	831014, 	985987, 	1185229
98, 	831014, 	985987, 	1185229
99, 	831014, 	985987, 	1185229
Benchmarks complete.
