>>> ENTER BENCHMARK <<<
ML-KEM-768
Running on a Pi!
Starting Benchmarks for: ML-KEM-768
Iteration, Keypair, Encaps, Decaps
Buffer Address: 0x35fa1
Confirmed: Buffer is NOT 4-byte aligned.
overhead: 12
0, 	1615233, 	1764354, 	2102418
1, 	1512217, 	1744158, 	2077687
2, 	1505124, 	1737812, 	2065495
3, 	1506217, 	1743421, 	2071235
4, 	1503764, 	1740376, 	2075665
5, 	1505031, 	1739957, 	2066610
6, 	1503334, 	1738809, 	2079250
7, 	1505208, 	1740649, 	2072515
8, 	1503919, 	1740444, 	2074310
9, 	1501869, 	1741054, 	2072003
10, 	1505031, 	1744494, 	2076280
11, 	1502288, 	1738718, 	2071773
12, 	1496660, 	1742875, 	2071400
13, 	1503825, 	1740446, 	2072847
14, 	1503573, 	1747465, 	2075000
15, 	1499582, 	1737767, 	2071362
16, 	1507338, 	1742686, 	2074768
17, 	1505043, 	1741030, 	2071322
18, 	1505916, 	1733834, 	2076522
19, 	1503864, 	1740591, 	2076908
20, 	1504832, 	1740436, 	2071805
21, 	1504693, 	1735710, 	2072157
22, 	1504579, 	1742696, 	2074337
23, 	1503804, 	1736451, 	2077190
24, 	1503516, 	1736772, 	2067010
25, 	1505671, 	1740211, 	2077038
26, 	1504213, 	1742743, 	2071083
27, 	1501772, 	1741412, 	2066800
28, 	1505060, 	1740898, 	2074167
29, 	1503775, 	1746082, 	2073675
30, 	1503411, 	1741180, 	2064413
31, 	1506744, 	1739603, 	2072200
32, 	1505153, 	1739422, 	2072303
33, 	1508859, 	1741567, 	2068518
34, 	1496943, 	1740800, 	2072926
35, 	1506896, 	1742030, 	2073775
36, 	1502074, 	1739351, 	2076365
37, 	1498058, 	1739699, 	2073928
38, 	1504856, 	1740315, 	2077988
39, 	1504663, 	1737426, 	2070930
40, 	1498515, 	1734729, 	2079969
41, 	1504260, 	1742172, 	2074695
42, 	1503597, 	1743352, 	2076437
43, 	1502989, 	1733069, 	2067725
44, 	1501431, 	1745691, 	2075001
45, 	1503051, 	1737053, 	2074815
46, 	1506449, 	1739776, 	2069840
47, 	1504834, 	1739568, 	2078810
48, 	1508613, 	1741101, 	2073642
49, 	1499579, 	1738329, 	2063395
50, 	1506635, 	1741372, 	2074295
51, 	1505687, 	1740372, 	2072263
52, 	1504043, 	1738754, 	2068835
53, 	1504776, 	1740072, 	2074178
54, 	1503185, 	1739556, 	2072428
55, 	1503200, 	1738886, 	2070923
56, 	1499030, 	1739803, 	2071490
57, 	1504955, 	1741709, 	2070545
58, 	1504428, 	1742415, 	2075570
59, 	1497143, 	1741463, 	2071377
60, 	1505956, 	1743137, 	2071002
61, 	1502618, 	1744668, 	2077568
62, 	1498073, 	1735950, 	2071713
63, 	1507243, 	1739846, 	2076887
64, 	1506138, 	1742975, 	2073230
65, 	1507527, 	1735270, 	2072852
66, 	1505232, 	1739862, 	2073747
67, 	1506980, 	1740402, 	2080589
68, 	1503276, 	1734548, 	2073812
69, 	1508754, 	1739665, 	2071517
70, 	1505455, 	1740297, 	2074780
71, 	1502053, 	1737562, 	2066393
72, 	1505180, 	1739575, 	2079475
73, 	1505018, 	1739117, 	2073875
74, 	1505925, 	1744094, 	2064170
75, 	1502006, 	1740546, 	2070732
76, 	1502489, 	1747021, 	2074548
77, 	1505657, 	1740686, 	2064542
78, 	1504322, 	1736936, 	2071758
79, 	1502974, 	1737225, 	2074600
80, 	1507065, 	1739926, 	2072263
81, 	1496829, 	1739719, 	2071327
82, 	1508209, 	1745103, 	2074895
83, 	1502729, 	1740555, 	2075670
84, 	1500031, 	1737836, 	2072980
85, 	1503761, 	1740666, 	2078494
86, 	1505194, 	1740205, 	2068437
87, 	1499189, 	1734433, 	2074670
88, 	1505618, 	1740465, 	2074473
89, 	1501770, 	1744505, 	2072017
90, 	1505056, 	1734595, 	2069415
91, 	1503951, 	1743199, 	2076346
92, 	1501844, 	1740936, 	2070560
93, 	1504109, 	1740239, 	2068305
94, 	1502914, 	1739369, 	2074480
95, 	1510145, 	1740359, 	2071565
96, 	1502923, 	1742452, 	2064255
97, 	1507545, 	1739659, 	2073982
98, 	1500731, 	1737464, 	2075445
99, 	1505060, 	1737760, 	2064950
returned: 0
