>>> ENTER BENCHMARK <<<
ML-KEM-768
Running on a Pi!
Starting Benchmarks for: ML-KEM-768
overhead: 14
Iteration, Keypair cycles, Keypair stack, Keypair read cache miss, Keypair write cache miss, Encaps cycles, Encaps stack, Encaps read cache miss, Encaps write cache miss, Decaps cycles, Decaps stack, Decaps read cache miss, Decaps write cache miss
44, 	1513325, 	10272, 	115, 	115, 	1754017, 	13408, 	203, 	203, 	2089239, 	14480, 	210, 	210
45, 	1515969, 	10272, 	119, 	119, 	1758045, 	13408, 	147, 	147, 	2094194, 	14480, 	182, 	183
46, 	1517704, 	10272, 	183, 	183, 	1761322, 	13408, 	164, 	164, 	2097614, 	14480, 	298, 	299
47, 	1518099, 	10272, 	144, 	144, 	1746459, 	13408, 	174, 	174, 	2088056, 	14480, 	242, 	242
48, 	1515665, 	10272, 	122, 	122, 	1761107, 	13408, 	174, 	174, 	2097124, 	14480, 	252, 	253
49, 	1512256, 	10272, 	155, 	155, 	1759402, 	13408, 	156, 	156, 	2102677, 	14480, 	286, 	287
50, 	1510962, 	10272, 	108, 	108, 	1751310, 	13408, 	145, 	145, 	2085294, 	14480, 	228, 	228
51, 	1517773, 	10272, 	125, 	125, 	1760592, 	13408, 	190, 	190, 	2094299, 	14480, 	283, 	284
52, 	1516920, 	10272, 	141, 	141, 	1757791, 	13408, 	166, 	166, 	2095418, 	14480, 	223, 	224
53, 	1514044, 	10272, 	195, 	195, 	1746232, 	13408, 	154, 	154, 	2089989, 	14480, 	251, 	251
54, 	1513521, 	10272, 	134, 	134, 	1760407, 	13408, 	126, 	126, 	2094607, 	14480, 	189, 	190
55, 	1518339, 	10272, 	170, 	170, 	1758974, 	13408, 	144, 	144, 	2091554, 	14480, 	272, 	273
56, 	1514374, 	10272, 	147, 	147, 	1745878, 	13408, 	157, 	157, 	2096116, 	14480, 	301, 	301
57, 	1514979, 	10272, 	180, 	180, 	1765485, 	13408, 	162, 	162, 	2093264, 	14480, 	180, 	180
58, 	1512814, 	10272, 	122, 	122, 	1761074, 	13408, 	145, 	145, 	2095626, 	14480, 	275, 	276
59, 	1517132, 	10272, 	151, 	151, 	1746631, 	13408, 	175, 	175, 	2090754, 	14480, 	245, 	246
60, 	1512888, 	10272, 	127, 	127, 	1763591, 	13408, 	203, 	203, 	2092955, 	14480, 	222, 	222
61, 	1517001, 	10272, 	163, 	163, 	1758670, 	13408, 	147, 	147, 	2093827, 	14480, 	221, 	221
62, 	1516537, 	10272, 	189, 	189, 	1747429, 	13408, 	203, 	203, 	2096237, 	14480, 	291, 	291
63, 	1515986, 	10272, 	130, 	130, 	1759079, 	13408, 	159, 	159, 	2095881, 	14480, 	300, 	301
64, 	1512603, 	10272, 	156, 	156, 	1756750, 	13408, 	160, 	160, 	2096759, 	14480, 	236, 	237
65, 	1510324, 	10272, 	133, 	133, 	1745339, 	13408, 	154, 	154, 	2094959, 	14480, 	322, 	322
66, 	1513879, 	10272, 	163, 	163, 	1758644, 	13408, 	178, 	178, 	2090898, 	14480, 	242, 	242
67, 	1512099, 	10272, 	146, 	146, 	1766612, 	13408, 	218, 	218, 	2093919, 	14480, 	238, 	239
68, 	1508993, 	10272, 	119, 	119, 	1747100, 	13408, 	154, 	154, 	2093393, 	14480, 	201, 	201
69, 	1513695, 	10272, 	134, 	134, 	1760020, 	13408, 	234, 	234, 	2093254, 	14480, 	252, 	253
70, 	1514614, 	10272, 	125, 	125, 	1755530, 	13408, 	200, 	200, 	2089716, 	14480, 	295, 	295
71, 	1513951, 	10272, 	204, 	204, 	1748014, 	13408, 	165, 	165, 	2095285, 	14480, 	223, 	224
72, 	1515103, 	10272, 	146, 	146, 	1758626, 	13408, 	168, 	168, 	2096503, 	14480, 	263, 	263
73, 	1513957, 	10272, 	146, 	146, 	1762042, 	13408, 	162, 	162, 	2089231, 	14480, 	206, 	207
74, 	1505173, 	10272, 	131, 	131, 	1749427, 	13408, 	125, 	125, 	2092518, 	14480, 	294, 	295
75, 	1513495, 	10272, 	130, 	130, 	1760536, 	13408, 	171, 	171, 	2095161, 	14480, 	223, 	224
76, 	1512498, 	10272, 	128, 	128, 	1760527, 	13408, 	191, 	191, 	2096610, 	14480, 	313, 	313
77, 	1504548, 	10272, 	173, 	173, 	1750127, 	13408, 	199, 	199, 	2097096, 	14480, 	229, 	230
78, 	1516417, 	10272, 	194, 	194, 	1761251, 	13408, 	217, 	217, 	2094781, 	14480, 	225, 	226
79, 	1518502, 	10272, 	152, 	152, 	1759180, 	13408, 	176, 	176, 	2090387, 	14480, 	201, 	202
80, 	1509076, 	10272, 	179, 	179, 	1753147, 	13408, 	206, 	206, 	2101676, 	14480, 	258, 	258
81, 	1516531, 	10272, 	139, 	139, 	1756813, 	13408, 	177, 	177, 	2097523, 	14480, 	261, 	262
82, 	1518269, 	10272, 	154, 	154, 	1759731, 	13408, 	177, 	177, 	2093250, 	14480, 	216, 	217
83, 	1505231, 	10272, 	134, 	134, 	1753744, 	13408, 	199, 	199, 	2098720, 	14480, 	279, 	280
84, 	1514800, 	10272, 	148, 	148, 	1760355, 	13408, 	187, 	187, 	2095489, 	14480, 	247, 	248
85, 	1515214, 	10272, 	146, 	146, 	1756519, 	13408, 	205, 	205, 	2094329, 	14480, 	237, 	238
86, 	1502657, 	10272, 	148, 	148, 	1756458, 	13408, 	194, 	194, 	2092112, 	14480, 	251, 	252
87, 	1513505, 	10272, 	163, 	163, 	1760969, 	13408, 	160, 	160, 	2099844, 	14480, 	245, 	246
88, 	1515772, 	10272, 	136, 	136, 	1758021, 	13408, 	160, 	160, 	2097424, 	14480, 	309, 	309
89, 	1503967, 	10272, 	178, 	178, 	1757952, 	13408, 	211, 	211, 	2096918, 	14480, 	225, 	226
90, 	1515413, 	10272, 	139, 	139, 	1757190, 	13408, 	138, 	138, 	2101656, 	14480, 	343, 	343
91, 	1514092, 	10272, 	177, 	177, 	1758015, 	13408, 	195, 	195, 	2097608, 	14480, 	228, 	228
92, 	1502332, 	10272, 	174, 	174, 	1755772, 	13408, 	203, 	203, 	2092594, 	14480, 	249, 	249
93, 	1509882, 	10272, 	125, 	125, 	1756983, 	13408, 	143, 	143, 	2091914, 	14480, 	204, 	203
94, 	1515338, 	10272, 	133, 	133, 	1764278, 	13408, 	242, 	242, 	2093692, 	14480, 	281, 	281
95, 	1499749, 	10272, 	134, 	134, 	1754689, 	13408, 	165, 	165, 	2091732, 	14480, 	233, 	234
96, 	1515782, 	10272, 	198, 	198, 	1762768, 	13408, 	203, 	203, 	2090747, 	14480, 	274, 	275
97, 	1516165, 	10272, 	145, 	145, 	1760439, 	13408, 	150, 	150, 	2093286, 	14480, 	243, 	244
98, 	1501479, 	10272, 	145, 	145, 	1756515, 	13408, 	146, 	146, 	2093897, 	14480, 	218, 	218
99, 	1514600, 	10272, 	114, 	114, 	1760994, 	13408, 	163, 	163, 	2097473, 	14480, 	336, 	336
returned: 0
