>>> ENTER BENCHMARK <<<
ML-KEM-512
Running on a Pi!
Starting Benchmarks for: ML-KEM-512
Iteration, Keypair, Encaps, Decaps
overhead: 159
0, 	981400, 	1095201, 	1346737
1, 	910122, 	1072209, 	1319547
2, 	912080, 	1070630, 	1318987
3, 	907408, 	1068273, 	1319699
4, 	905961, 	1065890, 	1314176
5, 	908757, 	1069850, 	1320953
6, 	906097, 	1066830, 	1318333
7, 	907080, 	1068530, 	1318955
8, 	908388, 	1072836, 	1319157
9, 	909590, 	1069191, 	1314606
10, 	905968, 	1067791, 	1317476
11, 	906690, 	1068934, 	1318703
12, 	908323, 	1068983, 	1316170
13, 	906605, 	1068566, 	1318981
14, 	907577, 	1070869, 	1314801
15, 	907236, 	1068782, 	1321516
16, 	907455, 	1068551, 	1316177
17, 	905883, 	1070958, 	1319058
18, 	908378, 	1068217, 	1316166
19, 	907915, 	1068190, 	1314548
20, 	904855, 	1071408, 	1318914
21, 	907185, 	1067996, 	1320346
22, 	906455, 	1068978, 	1315364
23, 	907183, 	1071572, 	1316864
24, 	907293, 	1067538, 	1315312
25, 	905740, 	1067655, 	1319046
26, 	909870, 	1069366, 	1320336
27, 	905781, 	1065996, 	1317434
28, 	907670, 	1068396, 	1317833
29, 	907050, 	1071134, 	1317604
30, 	905732, 	1067495, 	1316099
31, 	909025, 	1068193, 	1315649
32, 	906727, 	1069145, 	1318617
33, 	909585, 	1069091, 	1316711
34, 	905678, 	1067103, 	1315503
35, 	905610, 	1065580, 	1320858
36, 	908341, 	1068158, 	1318278
37, 	907995, 	1067008, 	1314979
38, 	906395, 	1068734, 	1322808
39, 	907375, 	1070758, 	1316701
40, 	904865, 	1066931, 	1320886
41, 	907478, 	1069603, 	1320058
42, 	906930, 	1068593, 	1318874
43, 	908193, 	1066684, 	1317644
44, 	905693, 	1067520, 	1319539
45, 	905620, 	1067595, 	1319061
46, 	907642, 	1068016, 	1315776
47, 	907355, 	1066594, 	1320871
48, 	907316, 	1068968, 	1318861
49, 	906290, 	1067886, 	1314931
50, 	905203, 	1066519, 	1319289
51, 	909358, 	1068119, 	1317374
52, 	907905, 	1066782, 	1316201
53, 	906675, 	1066895, 	1323081
54, 	909665, 	1068652, 	1317592
55, 	906114, 	1066472, 	1321055
56, 	907539, 	1070869, 	1320422
57, 	908070, 	1067206, 	1318996
58, 	907337, 	1067722, 	1320759
59, 	907317, 	1067400, 	1320446
60, 	907092, 	1066118, 	1316099
61, 	909847, 	1068253, 	1316304
62, 	908113, 	1068853, 	1316693
63, 	906655, 	1066228, 	1318955
64, 	908598, 	1068696, 	1318696
65, 	906060, 	1065871, 	1317314
66, 	906063, 	1068341, 	1319768
67, 	907060, 	1066482, 	1319078
68, 	906443, 	1067533, 	1317554
69, 	906221, 	1068836, 	1319371
70, 	907153, 	1066353, 	1315516
71, 	908221, 	1066828, 	1317098
72, 	907895, 	1068061, 	1321989
73, 	908295, 	1069883, 	1317566
74, 	906628, 	1067604, 	1316793
75, 	910540, 	1067080, 	1315829
76, 	906377, 	1069375, 	1319874
77, 	908313, 	1067834, 	1316899
78, 	909498, 	1069603, 	1318824
79, 	907095, 	1067769, 	1316842
80, 	907713, 	1066246, 	1314341
81, 	909683, 	1069298, 	1318676
82, 	908888, 	1068041, 	1315459
83, 	906833, 	1066786, 	1315703
84, 	910472, 	1069428, 	1319504
85, 	906848, 	1067033, 	1314634
86, 	905973, 	1067305, 	1317716
87, 	909023, 	1070444, 	1318752
88, 	906313, 	1067296, 	1318914
89, 	906286, 	1068601, 	1315355
90, 	909557, 	1069238, 	1314187
91, 	906768, 	1068576, 	1318021
92, 	907109, 	1068176, 	1316444
93, 	908758, 	1070372, 	1319114
94, 	908197, 	1067293, 	1322041
95, 	907882, 	1067136, 	1314333
96, 	908412, 	1071464, 	1318193
97, 	907162, 	1070261, 	1319484
98, 	906840, 	1067892, 	1316507
99, 	907225, 	1070713, 	1318741
returned: 0CPU freq: 999998255 Hz
